Row Labels,Trial Count,Max of Root Mean Square Error (RMSE),Average of Root Mean Square Error (RMSE)2
0,5950,1.276185262,0.25042273
0,850,1.276185262,0.382110072
0,50,0.466363711,0.466363711
0.02,50,0.46072979,0.460674377
0.05,50,0.452601824,0.452466779
0.1,50,0.43985141,0.439592294
0.15,50,0.428001843,0.427628505
0.2,50,0.416957452,0.416478761
0.25,50,0.406635093,0.406059057
0.4,50,0.378960071,0.377867699
0.5,50,0.363191785,0.361315147
0.6,50,0.349035744,0.34631098
0.7,50,0.336152601,0.333334849
0.8,50,0.324503117,0.321319666
2,50,0.23134852,0.167904665
3,50,0.252395385,0.133933934
4,50,0.622072795,0.266788546
5,50,0.919927112,0.418457079
9,50,1.276185262,0.699375175
0.05,850,1.139420416,0.269004748
0,50,0.289593937,0.287330949
0.02,50,0.286776577,0.28296224
0.05,50,0.280607319,0.278014776
0.1,50,0.272409887,0.269509252
0.15,50,0.264750383,0.262291109
0.2,50,0.257326114,0.254636938
0.25,50,0.250828299,0.249058863
0.4,50,0.234685775,0.231604361
0.5,50,0.225268754,0.222209519
0.6,50,0.218494,0.213384854
0.7,50,0.209902856,0.204643211
0.8,50,0.20041353,0.197507095
2,50,0.14762071,0.139209504
3,50,0.283073506,0.135704771
4,50,0.625667564,0.240371598
5,50,0.874971321,0.43270882
9,50,1.139420416,0.671932851
0.1,850,1.091346956,0.2323192
0,50,0.26489029,0.22194306
0.02,50,0.260664129,0.220212896
0.05,50,0.224551744,0.214216835
0.1,50,0.242935751,0.213592932
0.15,50,0.230949635,0.205930074
0.2,50,0.211149183,0.203833013
0.25,50,0.206939889,0.202316174
0.4,50,0.195769945,0.192054608
0.5,50,0.190536847,0.187293187
0.6,50,0.184497757,0.182358426
0.7,50,0.179732714,0.177309469
0.8,50,0.176364064,0.172468356
2,50,0.139023303,0.1286312
3,50,0.283117059,0.143200845
4,50,0.560037287,0.235596424
5,50,0.797512149,0.413278548
9,50,1.091346956,0.635190357
0.2,850,0.893457134,0.214311966
0,50,0.387635505,0.248670046
0.02,50,0.37659509,0.226524672
0.05,50,0.361008026,0.200262153
0.1,50,0.335683223,0.184688371
0.15,50,0.314438587,0.179949682
0.2,50,0.295874099,0.181392596
0.25,50,0.27706626,0.188131635
0.4,50,0.19243268,0.169592483
0.5,50,0.183559853,0.158697345
0.6,50,0.197630207,0.156662858
0.7,50,0.182988173,0.157517168
0.8,50,0.187757199,0.155628057
2,50,0.127385329,0.118541012
3,50,0.239920164,0.124723123
4,50,0.547053505,0.233003935
5,50,0.665936134,0.366481626
9,50,0.893457134,0.592836657
0.3,850,0.799706318,0.225780987
0,50,0.413110746,0.219848621
0.02,50,0.402042763,0.232671097
0.05,50,0.386762898,0.273159652
0.1,50,0.363654882,0.288428278
0.15,50,0.343408981,0.24971933
0.2,50,0.321129515,0.202219547
0.25,50,0.309729072,0.191581484
0.4,50,0.270151848,0.162754545
0.5,50,0.24821641,0.156864988
0.6,50,0.229110808,0.160292296
0.7,50,0.219764255,0.163338726
0.8,50,0.207243282,0.172783949
2,50,0.123043891,0.114479812
3,50,0.210604546,0.121856019
4,50,0.391026912,0.217775497
5,50,0.547939014,0.357660133
9,50,0.799706318,0.552842801
0.4,850,0.726423156,0.214314978
0,50,0.48406154,0.21127059
0.02,50,0.473206896,0.215516548
0.05,50,0.360542305,0.219168955
0.1,50,0.333400379,0.232719509
0.15,50,0.310414543,0.214044277
0.2,50,0.285651335,0.207934672
0.25,50,0.254941631,0.198720222
0.4,50,0.270440561,0.177822986
0.5,50,0.207510773,0.16377496
0.6,50,0.187949468,0.164930516
0.7,50,0.214726178,0.156076025
0.8,50,0.172593433,0.158994489
2,50,0.131937703,0.115212059
3,50,0.230266786,0.117603867
4,50,0.479869248,0.234940621
5,50,0.548136147,0.336135427
9,50,0.726423156,0.518488905
0.5,850,0.636074166,0.215117163
0,50,0.505070326,0.243616895
0.02,50,0.433198955,0.242874202
0.05,50,0.39701772,0.229894325
0.1,50,0.397215392,0.207160678
0.15,50,0.456754895,0.201164748
0.2,50,0.419939063,0.214995296
0.25,50,0.379168503,0.207108802
0.4,50,0.258960475,0.179625654
0.5,50,0.26493257,0.167936383
0.6,50,0.178254095,0.163580651
0.7,50,0.204111749,0.164224475
0.8,50,0.192263403,0.163072395
2,50,0.158142257,0.124334503
3,50,0.224409472,0.123694554
4,50,0.365581626,0.232721299
5,50,0.468440576,0.313234083
9,50,0.636074166,0.477752822
0.25,5950,1.168350328,0.202988418
0,850,1.168350328,0.230760235
0,50,0.209009488,0.206973043
0.02,50,0.207982061,0.20562123
0.05,50,0.20563467,0.203566599
0.1,50,0.202539901,0.200233557
